Year,Event,Player,Team,Value
1915,Games,Red Faber,Chicago,50
1915,Saves,Carl Mays,Boston,7
1915,Shutouts,Walter Johnson,Washington,7
1915,Shutouts,Jim Scott,Chicago,7
1915,Strikeouts,Walter Johnson,Washington,203
1915,Winning Percentage,Smoky Joe Wood,Boston,.750
1915,Wins,Walter Johnson,Washington,27
1916,Complete Games,Walter Johnson,Washington,36
1916,ERA,Babe Ruth,Boston,1.75
1916,Games,Dave Davenport,St. Louis,59
1916,Saves,Bob Shawkey,New York,8
1916,Shutouts,Babe Ruth,Boston,9
1916,Strikeouts,Walter Johnson,Washington,228
1916,Winning Percentage,Nick Cullop,New York,.684
1916,Wins,Walter Johnson,Washington,25
1917,Complete Games,Babe Ruth,Boston,35
1917,ERA,Eddie Cicotte,Chicago,1.53
1917,Games,Dave Danforth,Chicago,50
1917,Saves,Dave Danforth,Chicago,9
1917,Shutouts,Stan Coveleski,Cleveland,9
1917,Strikeouts,Walter Johnson,Washington,188
1917,Winning Percentage,Ed Klepfer,Cleveland,.778
1917,Wins,Eddie Cicotte,Chicago,28
1918,Complete Games,Carl Mays,Boston,30
1918,Complete Games,Scott Perry,Philadelphia,30
1918,ERA,Walter Johnson,Washington,1.27
1918,Games,Jim Bagby,Cleveland,45
1918,Games,George Mogridge,New York,45
1918,Saves,George Mogridge,New York,7
1918,Shutouts,Walter Johnson,Washington,8
1918,Shutouts,Carl Mays,Boston,8
1918,Strikeouts,Walter Johnson,Washington,162
1918,Winning Percentage,Sam Jones,Boston,.762
1918,Wins,Walter Johnson,Washington,23
1919,Complete Games,Eddie Cicotte,Chicago,30
1919,ERA,Walter Johnson,Washington,1.49
1919,Games,Jim Shaw,Washington,45
1919,Saves,Allan Russell,New York,5
1919,Saves,Bob Shawkey,New York,5
1919,Saves,Jim Shaw,Washington,5
1919,Shutouts,Walter Johnson,Washington,7
1919,Strikeouts,Walter Johnson,Washington,147
1919,Winning Percentage,Eddie Cicotte,Chicago,.806
1919,Wins,Eddie Cicotte,Chicago,29
1920,Complete Games,Jim Bagby,Cleveland,30
1920,ERA,Bob Shawkey,New York,2.45
1920,Games,Jim Bagby,Cleveland,48
1920,Saves,Dickie Kerr,Chicago,5
1920,Saves,Urban Shocker,St. Louis,5
1920,Shutouts,Carl Mays,New York,6
1920,Strikeouts,Stan Coveleski,Cleveland,133
1920,Winning Percentage,Jim Bagby,Cleveland,.721
1920,Wins,Jim Bagby,Cleveland,31
1921,Complete Games,Red Faber,Chicago,32
1921,ERA,Red Faber,Chicago,2.48
1921,Games,Carl Mays,New York,49
1921,Saves,Carl Mays,New York,7
1921,Saves,Jim Middleton,Detroit,7
1921,Shutouts,Sam Jones,Boston,5
1921,Strikeouts,Walter Johnson,Washington,143
1921,Winning Percentage,Carl Mays,New York,.750
1921,Wins,Carl Mays,New York,27
1921,Wins,Urban Shocker,St. Louis,27
1922,Complete Games,Red Faber,Chicago,31
1922,ERA,Red Faber,Chicago,2.81
1922,Games,Eddie Rommel,Philadelphia,51
1922,Saves,Sam Jones,New York,8
1922,Shutouts,George Uhle,Cleveland,5
1922,Strikeouts,Urban Shocker,St. Louis,149
1922,Winning Percentage,Joe Bush,New York,.788
1922,Wins,Eddie Rommel,Philadelphia,27
1923,Complete Games,George Uhle,Cleveland,29
1923,ERA,Stan Coveleski,Cleveland,2.76
1923,Games,Eddie Rommel,Philadelphia,56
1923,Saves,Allan Russell,Washington,9
1923,Shutouts,Stan Coveleski,Cleveland,5
1923,Strikeouts,Walter Johnson,Washington,130
1923,Winning Percentage,Herb Pennock,New York,.760
1923,Wins,George Uhle,Cleveland,26
1924,Complete Games,Sloppy Thurston,Chicago,28
1924,ERA,Walter Johnson,Washington,2.72
1924,Games,Firpo Marberry,Washington,50
1924,Saves,Firpo Marberry,Washington,15
1924,Shutouts,Walter Johnson,Washington,6
1924,Strikeouts,Walter Johnson,Washington,158
1924,Winning Percentage,Walter Johnson,Washington,.767
1924,Wins,Walter Johnson,Washington,23
1925,Complete Games,Howard Ehmke,Boston,22
1925,Complete Games,Sherry Smith,Cleveland,22
1925,ERA,Stan Coveleski,Washington,2.84
1925,Games,Firpo Marberry,Washington,55
1925,Saves,Firpo Marberry,Washington,15
1925,Shutouts,Ted Lyons,Chicago,5
1925,Strikeouts,Lefty Grove,Philadelphia,116
1925,Winning Percentage,Stan Coveleski,Washington,.800
1925,Wins,Ted Lyons,Chicago,21
1925,Wins,Eddie Rommel,Philadelphia,21
1926,Complete Games,George Uhle,Cleveland,32
1926,ERA,Lefty Grove,Philadelphia,2.51
1926,Games,Firpo Marberry,Washington,64
1926,Saves,Firpo Marberry,Washington,22
1926,Shutouts,Ed Wells,Detroit,4
1926,Strikeouts,Lefty Grove,Philadelphia,194
1926,Winning Percentage,George Uhle,Cleveland,.711
1926,Wins,George Uhle,Cleveland,27
1927,Complete Games,Ted Lyons,Chicago,30
1927,ERA,Wilcy Moore,New York,2.28
1927,Games,Garland Braxton,Washington,58
1927,Saves,Garland Braxton,Washington,13
1927,Saves,Wilcy Moore,New York,13
1927,Shutouts,Hod Lisenbee,Washington,4
1927,Strikeouts,Lefty Grove,Philadelphia,174
1927,Winning Percentage,Waite Hoyt,New York,.759
1927,Wins,Waite Hoyt,New York,22
1927,Wins,Ted Lyons,Chicago,22
1928,Complete Games,Red Ruffing,Boston,25
1928,ERA,Garland Braxton,Washington,2.51
1928,Games,Firpo Marberry,Washington,48
1928,Saves,Waite Hoyt,New York,8
1928,Shutouts,Herb Pennock,New York,5
1928,Strikeouts,Lefty Grove,Philadelphia,183
1928,Winning Percentage,Alvin Crowder,St. Louis,.808
1928,Wins,Lefty Grove,Philadelphia,24
1928,Wins,George Pipgras,New York,24
1929,Complete Games,Tommy Thomas,Chicago,24
1929,ERA,Lefty Grove,Philadelphia,2.81
1929,Games,Firpo Marberry,Washington,49
1929,Saves,Firpo Marberry,Washington,11
1929,Shutouts,George Blaeholder,St. Louis,5
1929,Shutouts,Alvin Crowder,St. Louis,5
1929,Shutouts,Dolly Gray,St. Louis,5
1929,Shutouts,Danny MacFayden,Boston,5
1929,Strikeouts,Lefty Grove,Philadelphia,170
1929,Winning Percentage,Lefty Grove,Philadelphia,.769
1929,Wins,George Earnshaw,Philadelphia,24
1930,Complete Games,Ted Lyons,Chicago,29
1930,ERA,Lefty Grove,Philadelphia,2.54
1930,Games,Lefty Grove,Philadelphia,50
1930,Saves,Lefty Grove,Philadelphia,9
1930,Shutouts,Clint Brown,Cleveland,3
1930,Shutouts,George Earnshaw,Philadelphia,3
1930,Shutouts,George Pipgras,New York,3
1930,Strikeouts,Lefty Grove,Philadelphia,209
1930,Winning Percentage,Lefty Grove,Philadelphia,.848
1930,Wins,Lefty Grove,Philadelphia,28
1931,Complete Games,Wes Ferrell,Cleveland,27
1931,Complete Games,Lefty Grove,Philadelphia,27
1931,ERA,Lefty Grove,Philadelphia,2.06
1931,Games,Bump Hadley,Washington,55
1931,Saves,Wilcy Moore,Boston,10
1931,Shutouts,Lefty Grove,Philadelphia,4
1931,Strikeouts,Lefty Grove,Philadelphia,175
1931,Winning Percentage,Lefty Grove,Philadelphia,.886
1931,Wins,Lefty Grove,Philadelphia,31
1932,Complete Games,Lefty Grove,Philadelphia,27
1932,ERA,Lefty Grove,Philadelphia,2.84
1932,Games,Firpo Marberry,Washington,54
1932,Saves,Firpo Marberry,Washington,13
1932,Shutouts,Tommy Bridges,Detroit,4
1932,Shutouts,Lefty Grove,Philadelphia,4
1932,Strikeouts,Red Ruffing,New York,190
1932,Winning Percentage,Johnny Allen,New York,.810
1932,Wins,Alvin Crowder,Washington,26
1933,Complete Games,Lefty Grove,Philadelphia,21
1933,ERA,Monte Pearson,Cleveland,2.33
1933,Games,Alvin Crowder,Washington,52
1933,Saves,Jack Russell,Washington,13
1933,Shutouts,Oral Hildebrand,Cleveland,6
1933,Strikeouts,Lefty Gomez,New York,163
1933,Winning Percentage,Lefty Grove,Philadelphia,.750
1933,Wins,Lefty Grove,Philadelphia,24
1933,Wins,Alvin Crowder,Washington,24
1934,Complete Games,Lefty Gomez,New York,25
1934,ERA,Lefty Gomez,New York,2.33
1934,Games,Jack Russell,Washington,54
1934,Saves,Jack Russell,Washington,7
1934,Shutouts,Mel Harder,Cleveland,6
1934,Shutouts,Lefty Gomez,New York,6
1934,Strikeouts,Lefty Gomez,New York,158
1934,Winning Percentage,Lefty Gomez,New York,.839
1934,Wins,Lefty Gomez,New York,26
1935,Complete Games,Wes Ferrell,Boston,31
1935,ERA,Lefty Grove,Boston,2.70
1935,Games,Russ Van Atta,New York,58
1935,Saves,Jack Knott,St. Louis,7
1935,Shutouts,Schoolboy Rowe,Detroit,6
1935,Strikeouts,Tommy Bridges,Detroit,163
1935,Winning Percentage,Elden Auker,Detroit,.720
1935,Wins,Wes Ferrell,Boston,25
1936,Complete Games,Wes Ferrell,Boston,28
1936,ERA,Lefty Grove,Philadelphia,2.81
1936,Games,Russ Van Atta,St. Louis,52
1936,Saves,Pat Malone,New York,9
1936,Shutouts,Lefty Grove,Philadelphia,6
1936,Strikeouts,Tommy Bridges,Detroit,175
1936,Winning Percentage,Bump Hadley,New York,.778
1936,Wins,Tommy Bridges,Detroit,23
1937,Complete Games,Wes Ferrell,Boston,26
1937,ERA,Lefty Gomez,New York,2.33
1937,Games,Clint Brown,Chicago,53
1937,Saves,Clint Brown,Chicago,18
1937,Shutouts,Lefty Gomez,New York,6
1937,Strikeouts,Lefty Gomez,New York,194
1937,Winning Percentage,Johnny Allen,Cleveland,.938
1937,Wins,Lefty Gomez,New York,21
1938,Complete Games,Bobo Newsom,St. Louis,31
1938,ERA,Lefty Grove,Boston,3.08
1938,Games,Johnny Humphries,Cleveland,45
1938,Saves,Johnny Murphy,New York,11
1938,Shutouts,Lefty Gomez,New York,4
1938,Strikeouts,Bob Feller,Cleveland,240
1938,Winning Percentage,Red Ruffing,New York,.750
1938,Wins,Red Ruffing,New York,21
1939,Complete Games,Bobo Newsom,St. Louis,24
1939,ERA,Lefty Grove,Boston,2.54
1939,Games,Clint Brown,Chicago,61
1939,Saves,Johnny Murphy,New York,19
1939,Shutouts,Red Ruffing,New York,5
1939,Strikeouts,Bob Feller,Cleveland,246
1939,Winning Percentage,Lefty Grove,Boston,.789
1939,Wins,Bob Feller,Cleveland,24
1940,Complete Games,Bob Feller,Cleveland,31
1940,ERA,Bob Feller,Cleveland,2.61
1940,Games,Bob Feller,Cleveland,43
1940,Saves,Al Benton,Detroit,17
1940,Shutouts,Bob Feller,Cleveland,4
1940,Shutouts,Ted Lyons,Chicago,4
1940,Shutouts,Al Milnar,Cleveland,4
1940,Strikeouts,Bob Feller,Cleveland,261
1940,Winning Percentage,Schoolboy Rowe,Detroit,.842
1940,Wins,Bob Feller,Cleveland,27
1941,Complete Games,Thornton Lee,Chicago,30
1941,ERA,Thornton Lee,Chicago,2.37
1941,Games,Bob Feller,Cleveland,44
1941,Saves,Johnny Murphy,New York,15
1941,Shutouts,Bob Feller,Cleveland,6
1941,Strikeouts,Bob Feller,Cleveland,260
1941,Winning Percentage,Lefty Gomez,New York,.750
1941,Wins,Bob Feller,Cleveland,25
1942,Complete Games,Tiny Bonham,New York,22
1942,Complete Games,Tex Hughson,Boston,22
1942,ERA,Ted Lyons,Chicago,2.10
1942,Games,Joe Haynes,Chicago,40
1942,Saves,Johnny Murphy,New York,11
1942,Shutouts,Tiny Bonham,New York,6
1942,Strikeouts,Tex Hughson,Boston,113
1942,Strikeouts,Bobo Newsom,Washington,113
1942,Winning Percentage,Tiny Bonham,New York,.808
1942,Wins,Tex Hughson,Boston,22
1943,Complete Games,Spud Chandler,New York,20
1943,Complete Games,Tex Hughson,Boston,20
1943,ERA,Spud Chandler,New York,1.64
1943,Games,Mace Brown,Boston,49
1943,Saves,Gordon Maltzberger,Chicago,14
1943,Shutouts,Spud Chandler,New York,5
1943,Shutouts,Dizzy Trout,Detroit,5
1943,Strikeouts,Allie Reynolds,Cleveland,151
1943,Winning Percentage,Spud Chandler,New York,.833
1943,Wins,Spud Chandler,New York,20
1943,Wins,Tex Hughson,Boston,20
1944,Complete Games,Dizzy Trout,Detroit,33
1944,ERA,Dizzy Trout,Detroit,2.12
1944,Games,Joe Heving,Cleveland,63
1944,Saves,Joe Berry,Philadelphia,12
1944,Saves,George Caster,St. Louis,12
1944,Saves,Gordon Maltzberger,Chicago,12
1944,Shutouts,Dizzy Trout,Detroit,7
1944,Strikeouts,Hal Newhouser,Detroit,187
1944,Winning Percentage,Tex Hughson,Boston,.783
1944,Wins,Hal Newhouser,Detroit,29
1945,Complete Games,Hal Newhouser,Detroit,29
1945,ERA,Hal Newhouser,Detroit,1.81
1945,Games,Joe Berry,Philadelphia,52
1945,Saves,Jim Turner,New York,10
1945,Shutouts,Hal Newhouser,Detroit,8
1945,Strikeouts,Hal Newhouser,Detroit,212
1945,Winning Percentage,Hal Newhouser,Detroit,.735
1945,Wins,Hal Newhouser,Detroit,25
1946,Complete Games,Bob Feller,Cleveland,36
1946,ERA,Hal Newhouser,Detroit,1.94
1946,Games,Bob Feller,Cleveland,48
1946,Saves,Bob Klinger,Boston,9
1946,Shutouts,Bob Feller,Cleveland,10
1946,Strikeouts,Bob Feller,Cleveland,348
1946,Winning Percentage,Dave Ferriss,Boston,.806
1946,Wins,Bob Feller,Cleveland,26
1946,Wins,Hal Newhouser,Detroit,26
1947,Complete Games,Hal Newhouser,Detroit,24
1947,ERA,Joe Haynes,Chicago,2.42
1947,Games,Ed Klieman,Cleveland,58
1947,Saves,Ed Klieman,Cleveland,17
1947,Saves,Joe Page,New York,17
1947,Shutouts,Bob Feller,Cleveland,5
1947,Strikeouts,Bob Feller,Cleveland,196
1947,Winning Percentage,Allie Reynolds,New York,.704
1947,Wins,Bob Feller,Cleveland,20
1948,Complete Games,Bob Lemon,Cleveland,20
1948,ERA,Gene Bearden,Cleveland,2.43
1948,Games,Joe Page,New York,55
1948,Saves,Russ Christopher,Cleveland,17
1948,Shutouts,Bob Lemon,Cleveland,10
1948,Strikeouts,Bob Feller,Cleveland,164
1948,Winning Percentage,Jack Kramer,Boston,.783
1948,Wins,Hal Newhouser,Detroit,21
1949,Complete Games,Mel Parnell,Boston,27
1949,ERA,Mike Garcia,Cleveland,2.36
1949,Games,Joe Page,New York,60
1949,Saves,Joe Page,New York,27
1949,Shutouts,Ellis Kinder,Boston,6
1949,Shutouts,Virgil Trucks,Detroit,6
1949,Strikeouts,Virgil Trucks,Detroit,153
1949,Winning Percentage,Ellis Kinder,Boston,.793
1949,Wins,Mel Parnell,Boston,25
1950,Complete Games,Ned Garver,St. Louis,22
1950,Complete Games,Bob Lemon,Cleveland,22
1950,ERA,Early Wynn,Cleveland,3.20
1950,Games,Mickey Harris,Washington,53
1950,Saves,Mickey Harris,Washington,15
1950,Shutouts,Art Houtteman,Detroit,4
1950,Strikeouts,Bob Lemon,Cleveland,170
1950,Winning Percentage,Vic Raschi,New York,.724
1950,Wins,Bob Lemon,Cleveland,23
1951,Complete Games,Ned Garver,St. Louis,24
1951,ERA,Saul Rogovin,Detroit,2.78
1951,Games,Ellis Kinder,Boston,63
1951,Saves,Ellis Kinder,Boston,14
1951,Shutouts,Allie Reynolds,New York,7
1951,Strikeouts,Vic Raschi,New York,164
1951,Winning Percentage,Bob Feller,Cleveland,.733
1951,Wins,Bob Feller,Cleveland,22
1952,Complete Games,Bob Lemon,Cleveland,28
1952,ERA,Allie Reynolds,New York,2.06
1952,Games,Bill Kennedy,Chicago,47
1952,Saves,Harry Dorish,Chicago,11
1952,Shutouts,Mike Garcia,Cleveland,6
1952,Shutouts,Allie Reynolds,New York,6
1952,Strikeouts,Allie Reynolds,New York,160
1952,Winning Percentage,Bobby Shantz,Philadelphia,.774
1952,Wins,Bobby Shantz,Philadelphia,24
1953,Complete Games,Bob Porterfield,Washington,24
1953,ERA,Ed Lopat,New York,2.42
1953,Games,Ellis Kinder,Boston,69
1953,Saves,Ellis Kinder,Boston,27
1953,Shutouts,Bob Porterfield,Washington,9
1953,Strikeouts,Billy Pierce,New York,186
1953,Winning Percentage,Ed Lopat,New York,.800
1953,Wins,Bob Porterfield,Washington,22
1954,Complete Games,Bob Lemon,Cleveland,21
1954,Complete Games,Bob Porterfield,Washington,21
1954,ERA,Mike Garcia,Cleveland,2.64
1954,Games,Sonny Dixon,Washington,54
1954,Saves,Johnny Sain,New York,22
1954,Shutouts,Mike Garcia,Cleveland,5
1954,Shutouts,Virgil Trucks,Chicago,5
1954,Strikeouts,Bob Turley,Baltimore,185
1954,Winning Percentage,Sandy Consuegra,Chicago,.842
1954,Wins,Bob Lemon,Cleveland,23
1954,Wins,Early Wynn,Cleveland,23
1955,Complete Games,Whitey Ford,New York,18
1955,ERA,Billy Pierce,Chicago,1.97
1955,Games,Ray Narleski,Cleveland,60
1955,Saves,Ray Narleski,Cleveland,19
1955,Shutouts,Billy Hoeft,Detroit,7
1955,Strikeouts,Herb Score,Cleveland,245
1955,Winning Percentage,Tommy Byrne,New York,.762
1955,Wins,Whitey Ford,New York,18
1955,Wins,Bob Lemon,Cleveland,18
1955,Wins,Frank Sullivan,Boston,18
1956,Complete Games,Bob Lemon,Cleveland,21
1956,Complete Games,Billy Pierce,Chicago,21
1956,ERA,Whitey Ford,New York,2.47
1956,Games,George Zuverink,Baltimore,62
1956,Saves,George Zuverink,Baltimore,16
1956,Shutouts,Herb Score,Cleveland,5
1956,Strikeouts,Herb Score,Cleveland,263
1956,Winning Percentage,Whitey Ford,New York,.760
1956,Wins,Frank Lary,Detroit,21
1957,Complete Games,Dick Donovan,Chicago,16
1957,Complete Games,Billy Pierce,Chicago,16
1957,ERA,Bobby Shantz,New York,2.45
1957,Games,George Zuverink,Baltimore,56
1957,Saves,Bob Grim,New York,19
1957,Shutouts,Jim Wilson,Chicago,5
1957,Strikeouts,Early Wynn,Cleveland,184
1957,Winning Percentage,Dick Donovan,Chicago,.727
1957,Winning Percentage,Tom Sturdivant,New York,.727
1957,Wins,Jim Bunning,Detroit,20
1957,Wins,Billy Pierce,Chicago,20
1958,Complete Games,Frank Lary,Detroit,19
1958,Complete Games,Billy Pierce,Chicago,19
1958,Complete Games,Bob Turley,New York,19
1958,ERA,Whitey Ford,New York,2.01
1958,Games,Tex Clevenger,Washington,55
1958,Saves,Ryne Duren,New York,20
1958,Shutouts,Whitey Ford,New York,7
1958,Strikeouts,Early Wynn,Chicago,179
1958,Winning Percentage,Bob Turley,New York,.750
1958,Wins,Bob Turley,New York,21
1959,Complete Games,Camilo Pascual,Washington,17
1959,ERA,Hoyt Wilhelm,Baltimore,2.19
1959,Games,Gerry Staley,Chicago,67
1959,Saves,Turk Lown,Chicago,15
1959,Shutouts,Camilo Pascual,Washington,6
1959,Strikeouts,Jim Bunning,Detroit,201
1959,Winning Percentage,Bob Shaw,Chicago,.750
1959,Wins,Early Wynn,Chicago,22
1960,Complete Games,Frank Lary,Detroit,15
1960,ERA,Frank Baumann,Chicago,2.67
1960,Games,Mike Fornieles,Boston,70
1960,Saves,Johnny Klippstein,Cleveland,14
1960,Saves,Mike Fornieles,Boston,14
1960,Shutouts,Whitey Ford,New York,4
1960,Shutouts,Jim Perry,Cleveland,4
1960,Shutouts,Early Wynn,Chicago,4
1960,Strikeouts,Jim Bunning,Detroit,201
1960,Winning Percentage,Jim Perry,Cleveland,.643
1960,Wins,Chuck Estrada,Baltimore,18
1960,Wins,Jim Perry,Cleveland,18
1961,Complete Games,Frank Lary,Detroit,22
1961,ERA,Dick Donovan,Washington,2.40
1961,Games,Luis Arroyo,New York,65
1961,Saves,Luis Arroyo,New York,29
1961,Shutouts,Steve Barber,Baltimore,8
1961,Shutouts,Camilo Pascual,Minnesota,8
1961,Strikeouts,Camilo Pascual,Minnesota,221
1961,Winning Percentage,Whitey Ford,New York,.862
1961,Wins,Whitey Ford,New York,25
1962,Complete Games,Camilo Pascual,Minnesota,18
1962,ERA,Hank Aguirre,Detroit,2.21
1962,Games,Dick Radatz,Boston,62
1962,Saves,Dick Radatz,Boston,24
1962,Shutouts,Dick Donovan,Cleveland,5
1962,Shutouts,Jim Kaat,Minnesota,5
1962,Shutouts,Camilo Pascual,Minnesota,5
1962,Strikeouts,Camilo Pascual,Minnesota,206
1962,Winning Percentage,Ray Herbert,Chicago,.690
1962,Wins,Ralph Terry,New York,23
1963,Complete Games,Camilo Pascual,Minnesota,18
1963,Complete Games,Ralph Terry,New York,18
1963,ERA,Gary Peters,Chicago,2.33
1963,Games,Stu Miller,Baltimore,71
1963,Saves,Stu Miller,Baltimore,27
1963,Shutouts,Ray Herbert,Chicago,7
1963,Strikeouts,Camilo Pascual,Minnesota,202
1963,Winning Percentage,Whitey Ford,New York,.774
1963,Wins,Whitey Ford,New York,24
1964,Complete Games,Dean Chance,Los Angeles,19
1964,ERA,Dean Chance,Los Angeles,1.65
1964,Games,John Wyatt,Kansas City,81
1964,Saves,Dick Radatz,Boston,29
1964,Shutouts,Dean Chance,Los Angeles,11
1964,Strikeouts,Al Downing,New York,217
1964,Winning Percentage,Wally Bunker,Baltimore,.792
1964,Wins,Dean Chance,Los Angeles,20
1964,Wins,Gary Peters,Chicago,20
1965,Complete Games,Mel Stottlemyre,New York,18
1965,ERA,Sam McDowell,Cleveland,2.18
1965,Games,Eddie Fisher,Chicago,82
1965,Saves,Ron Kline,Washington,29
